model_name,data_version,subject_id,n_test_trials,total_ll,completed_folds,converged_folds,ll_per_trial,perplexity
exchangeable_block_mixture,original,1,8562,-3873.251115985049,4,4,-0.4523769114675366,1.572044358473779
exchangeable_block_mixture,original,2,7877,-4363.958150802434,4,4,-0.5540127143331768,1.7402220400917054
exchangeable_block_mixture,original,3,9412,-3999.571170222231,4,4,-0.424943813240781,1.529504479349142
exchangeable_block_mixture,original,4,4799,-3648.802773546011,4,4,-0.7603256456649324,2.1389726542676164
exchangeable_block_mixture,original,5,5789,-7397.7902939273345,4,4,-1.2779046975172454,3.589111567061563
exchangeable_block_mixture,original,6,7553,-6885.1498460346775,4,2,-0.9115781604706312,2.48824628834642
exchangeable_block_mixture,original,7,5797,-3720.176247312517,4,4,-0.641741633139989,1.8997867312086871
exchangeable_block_mixture,original,8,5797,-7064.225672219866,4,2,-1.2186002539623713,3.382449847704587
exchangeable_block_mixture,original,9,8632,-7236.752898141167,4,4,-0.8383634033991157,2.31257911890362
exchangeable_block_mixture,original,10,6044,-6413.336588113451,4,4,-1.0611079728844228,2.8895707823731103
exchangeable_block_mixture,original,11,6474,-5344.973577352017,4,2,-0.8256060514908893,2.2832641217194225
exchangeable_block_mixture,original,12,6474,-6168.006679242099,4,4,-0.9527350446774944,2.592791370741132
exchangeable_block_mixture,shuffled,1,8562,-3873.251115985049,4,4,-0.4523769114675366,1.572044358473779
exchangeable_block_mixture,shuffled,2,7877,-4363.958150802435,4,4,-0.554012714333177,1.740222040091706
exchangeable_block_mixture,shuffled,3,9412,-3999.571170222231,4,4,-0.424943813240781,1.529504479349142
exchangeable_block_mixture,shuffled,4,4799,-3648.802773546011,4,4,-0.7603256456649324,2.1389726542676164
exchangeable_block_mixture,shuffled,5,5789,-7397.790293927335,4,4,-1.2779046975172457,3.589111567061564
exchangeable_block_mixture,shuffled,6,7553,-6885.1498460346775,4,2,-0.9115781604706312,2.48824628834642
exchangeable_block_mixture,shuffled,7,5797,-3720.176247312517,4,4,-0.6417416331399891,1.8997867312086876
exchangeable_block_mixture,shuffled,8,5797,-7064.225672219867,4,2,-1.2186002539623717,3.382449847704588
exchangeable_block_mixture,shuffled,9,8632,-7236.752898141167,4,4,-0.8383634033991157,2.31257911890362
exchangeable_block_mixture,shuffled,10,6044,-6413.336588113452,4,4,-1.061107972884423,2.8895707823731107
exchangeable_block_mixture,shuffled,11,6474,-5344.973577352017,4,2,-0.8256060514908893,2.2832641217194225
exchangeable_block_mixture,shuffled,12,6474,-6168.006679242099,4,4,-0.9527350446774944,2.592791370741132
